Date,Open Price,Close Price,High Price,Low Price,Volume,Crypto Name
2025-02-22 08:00:00 +0100,96395.19,96288.09,96511.93,96288.09,316.89443,Bitcoin
2025-02-22 09:00:00 +0100,96288.09,96219.8,96348.6,96159.01,439.1344,Bitcoin
2025-02-22 10:00:00 +0100,96219.81,96493.95,96529.79,96151.0,763.6474,Bitcoin
2025-02-22 11:00:00 +0100,96493.96,96500.16,96583.7,96437.24,488.18431,Bitcoin
2025-02-22 12:00:00 +0100,96500.17,96580.0,96611.53,96500.16,368.66866,Bitcoin
2025-02-22 13:00:00 +0100,96580.0,96823.94,96980.0,96575.0,584.35002,Bitcoin
2025-02-22 14:00:00 +0100,96823.94,96566.03,96916.83,96523.98,506.64162,Bitcoin
2025-02-22 15:00:00 +0100,96566.04,96535.9,96716.71,96498.27,599.34114,Bitcoin
2025-02-22 16:00:00 +0100,96535.91,96592.0,96708.43,96485.37,600.52191,Bitcoin
2025-02-22 17:00:00 +0100,96592.01,96504.01,96811.03,96455.0,677.72506,Bitcoin
2025-02-22 18:00:00 +0100,96504.01,96639.38,96685.99,96476.0,477.9575,Bitcoin
2025-02-22 19:00:00 +0100,96639.39,96449.99,96823.53,96415.09,543.0476,Bitcoin
2025-02-22 20:00:00 +0100,96449.98,96639.99,96645.0,96345.49,607.21529,Bitcoin
2025-02-22 21:00:00 +0100,96640.0,96578.01,96645.0,96508.0,231.41537,Bitcoin
2025-02-22 22:00:00 +0100,96578.01,96658.57,96677.69,96527.2,257.60903,Bitcoin
2025-02-22 23:00:00 +0100,96658.57,96634.06,96700.0,96603.77,206.03183,Bitcoin
2025-02-23 00:00:00 +0100,96634.06,96551.01,96658.4,96472.22,273.79955,Bitcoin
2025-02-23 01:00:00 +0100,96551.01,96643.46,96650.0,96492.0,317.52544,Bitcoin
2025-02-23 02:00:00 +0100,96643.47,96452.83,96643.47,96355.17,372.84935,Bitcoin
2025-02-23 03:00:00 +0100,96452.83,96410.27,96500.0,96387.24,302.49628,Bitcoin
2025-02-23 04:00:00 +0100,96410.28,96414.0,96566.04,96371.95,333.76565,Bitcoin
2025-02-23 05:00:00 +0100,96414.0,96395.88,96520.0,96377.35,214.54975,Bitcoin
2025-02-23 06:00:00 +0100,96395.88,96208.62,96406.45,96194.65,399.58071,Bitcoin
2025-02-23 07:00:00 +0100,96208.63,96342.91,96352.95,96143.99,280.52995,Bitcoin
2025-02-23 08:00:00 +0100,96342.92,96508.85,96558.01,96298.37,350.86348,Bitcoin
2025-02-23 09:00:00 +0100,96508.85,96364.32,96508.86,96308.0,215.88877,Bitcoin
2025-02-23 10:00:00 +0100,96364.32,96286.02,96470.59,96255.61,332.26349,Bitcoin
2025-02-23 11:00:00 +0100,96286.02,96193.88,96298.87,96083.33,346.00256,Bitcoin
2025-02-23 12:00:00 +0100,96193.89,96115.99,96245.99,96085.7,329.09804,Bitcoin
2025-02-23 13:00:00 +0100,96115.99,95732.93,96158.5,95657.05,768.22512,Bitcoin
2025-02-23 14:00:00 +0100,95732.94,95977.96,95979.65,95721.33,628.74852,Bitcoin
2025-02-23 15:00:00 +0100,95977.96,95593.89,96049.44,95544.0,586.69558,Bitcoin
2025-02-23 16:00:00 +0100,95593.88,95436.18,95731.73,95414.25,769.27792,Bitcoin
2025-02-23 17:00:00 +0100,95436.19,95420.5,95624.31,95420.5,621.0661,Bitcoin
2025-02-23 18:00:00 +0100,95420.51,95656.78,95750.0,95227.94,961.97983,Bitcoin
2025-02-23 19:00:00 +0100,95656.78,95740.0,95876.0,95622.65,745.89738,Bitcoin
2025-02-23 20:00:00 +0100,95739.99,95755.99,95849.12,95702.08,317.09421,Bitcoin
2025-02-23 21:00:00 +0100,95756.0,95777.7,95811.44,95680.0,123.97647,Bitcoin
2025-02-23 22:00:00 +0100,95777.71,95755.25,95777.71,95637.45,218.63363,Bitcoin
2025-02-23 23:00:00 +0100,95755.25,95787.13,95940.83,95522.78,515.65844,Bitcoin
2025-02-24 00:00:00 +0100,95787.14,96258.0,96332.44,95774.6,832.18246,Bitcoin
2025-02-24 01:00:00 +0100,96258.0,96247.35,96500.0,96157.42,788.41339,Bitcoin
2025-02-24 02:00:00 +0100,96247.36,95971.24,96339.63,95763.43,552.50951,Bitcoin
2025-02-24 03:00:00 +0100,95971.25,95829.35,96200.0,95752.68,463.98693,Bitcoin
2025-02-24 04:00:00 +0100,95829.36,95433.21,95829.36,95311.0,836.49275,Bitcoin
2025-02-24 05:00:00 +0100,95433.21,95298.0,95597.02,95078.01,1274.4122,Bitcoin
2025-02-24 06:00:00 +0100,95298.0,95727.39,95764.99,95240.01,692.75876,Bitcoin
2025-02-24 07:00:00 +0100,95727.39,95864.31,95896.0,95609.78,449.42534,Bitcoin
2025-02-24 08:00:00 +0100,95864.31,95872.02,95945.0,95696.0,661.05123,Bitcoin
2025-02-24 09:00:00 +0100,95872.02,95500.0,95945.0,95375.89,817.19572,Bitcoin
